admissionRate,mathSat,englishSat,overallCost,graduateCount,femaleProportion,entryAge,dependentProportion,povertyRate,firstGenerationProportion,asianPreportion,blackPreportion,whitePreportion,hispanicPreportion,nativePreportion,endowment,facultySalary,studentExpendature,studentRevenue,studentCount,medianIncome,housingCost,tuitionCost,overallPrice,pellGrantReceivers,federalLoanReceivers,debtAmount,lenders,sixYearEarnings,schoolName,id
0.7011,575.0,510.0,53368.0,1774.0,0.6084,19.0,0.9456010745,7.80000019073486,0.2445229682,0.0108,0.0542,0.8592,0.0469,0.0036,638504053.0,8455.0,9576.0,16071.0,3131.0,67136.0,11628.0,39350.0,29300.0,0.4741437206,0.4863,24250.0,0.9133646743,45389.0,Abilene Christian University,
0.7536,500.0,,13223.0,,0.5883,21.0,0.8393492628,14.2700004577636,0.3443449048,0.0786,0.0714,0.8286,0.0214,0.0,21693997.0,6436.0,6509.0,3772.0,3323.0,46480.0,7962.0,10471.0,7203.0,0.7005592272,0.3115,16750.0,0.7127605491,29825.0,Abraham Baldwin Agricultural College,
,,,41301.0,2442.0,0.5657,25.0,0.4790540541,7.55999994277954,0.4083701586,0.0752,0.015,0.6767,0.0451,0.0,,9482.0,14347.0,32083.0,5294.0,74015.0,19486.0,25424.0,32736.0,0.7358108108,0.4938,31000.0,0.9173423423,31825.0,Academy of Art University,
0.9983,515.0,,23292.0,1303.0,0.436,22.0,0.7397379913,11.8400001525878,0.4151309408,0.0095,0.0095,0.7524,0.1524,0.019,62673.0,6465.0,8530.0,6779.0,1484.0,50726.0,9167.0,17933.0,14305.0,0.7371179039,0.4932,19500.0,0.8017467249,36129.0,Adams State University,
0.7746,600.0,560.0,54230.0,2269.0,0.6921,21.0,0.8271068636,7.46999979019165,0.354206501,0.1437,0.0469,0.6891,0.0762,0.0,235144798.0,12326.0,14175.0,25299.0,5168.0,80864.0,16580.0,42475.0,28993.0,0.5073848827,0.5162,25000.0,0.8979148566,60750.0,Adelphi University,
,,,,233.0,,,,,,0.0,0.3636,0.5455,0.0,0.0,,6452.0,7534.0,16206.0,,,,,,,,,,,Adler Graduate School,
,,,,1864.0,0.0,,,,,0.1039,0.1818,0.6364,0.026,0.0,211478.0,8793.0,11296.0,24045.0,0.0,,,,,,,,,,Adler University,
0.7599,515.0,,55669.0,66.0,0.4658,19.0,0.967839196,5.71000003814697,0.3100529101,0.0235,0.0235,0.9176,0.0118,0.0,46226719.0,6178.0,8323.0,12410.0,1741.0,66915.0,12590.0,39107.0,23587.0,0.4753768844,0.7153,27000.0,0.9819095477,41486.0,Adrian College,
0.9027,,,32572.0,523.0,0.8478,26.0,0.4569816643,8.30000019073486,0.3902053712,0.0625,0.1875,0.6146,0.125,0.0,9875753.0,8241.0,9926.0,17977.0,1058.0,60028.0,10824.0,20340.0,25760.0,0.6558533145,0.5228,24590.0,0.8462623413,56663.0,AdventHealth University,
0.6985,,,46602.0,46.0,1.0,19.0,0.93,7.67999982833862,0.2119565217,0.0741,0.1111,0.6914,0.0494,0.0,247192299.0,9450.0,15914.0,16707.0,1013.0,69580.0,13050.0,44250.0,12423.0,0.575,0.5424,26749.0,0.9075,38722.0,Agnes Scott College,
